sa2,DHB,Population,VaccRate,SocialDeprivation,DistanceToVacc,PropUnder30,TertiaryStudents
102100,Northland,1129,0.5013286093888397,1170,3669.2054633,0.37358490566037733,No
102200,Northland,1977,0.7197774405665149,949,13489.2373024,0.32894736842105265,No
102300,Northland,978,0.623721881390593,1066,16623.8819659,0.40074906367041196,No
132900,Waitemata,2472,0.8729773462783171,986,797.467945572,0.411214953271028,No
103700,Northland,976,0.7223360655737705,1036,3999.04968078,0.3116883116883117,No
119600,Waitemata,1919,0.8405419489317353,966,803.229400754,0.39826839826839827,No
103000,Northland,2305,0.7488069414316703,1061,1047.32565974,0.33210332103321033,No
103200,Northland,1050,0.659047619047619,973,11988.9862317,0.35856573705179284,No
103300,Northland,1241,0.7082997582594682,970,11419.7534308,0.30952380952380953,No
103400,Northland,1228,0.5203583061889251,1185,5368.56237188,0.38618925831202044,No
103500,Northland,3518,0.49829448550312677,1304.5,237.344577943,0.5,No
163500,Counties Manukau,3330,0.6507507507507507,1218.5,1771.15296793,0.5465346534653466,No
107500,Northland,1919,0.6362688900468995,1090,1268.71277865,0.43137254901960786,No
104600,Northland,1190,0.5764705882352941,1188,7224.87379697,0.4722222222222222,No
104800,Northland,1515,0.5518151815181518,1069,34234.6639652,0.40594059405940597,No
104900,Northland,2111,0.6778777830412127,1065,27273.3329679,0.35661764705882354,No
105100,Northland,2728,0.7379032258064516,922,9700.48905935,0.3611111111111111,No
105200,Northland,1193,0.5892707460184409,1119,10611.3446871,0.476056338028169,No
105300,Northland,1488,0.7419354838709677,906,6618.6788738,0.335978835978836,No
103900,Northland,1469,0.7236215112321307,994,989.034809388,0.3143712574850299,No
111800,Auckland,836,0.6889952153110048,1114.5,113584.270266,0.2639593908629442,No
111900,Waitemata,1092,0.7793040293040293,936.5,5183.84348422,0.21544715447154472,No
112100,Waitemata,1581,0.7912713472485768,918,14481.2604707,0.3370165745856354,No
122700,Waitemata,2737,0.9210814760686884,975,1578.97214448,0.40848806366047746,No
121400,Waitemata,1889,0.8671254632080466,959,3027.68291814,0.41700404858299595,No
105500,Northland,1882,0.7507970244420828,985,1660.5990725,0.3799126637554585,No
118200,Waitemata,3600,0.8666666666666667,952,2053.1716434299997,0.38802660753880264,No
106100,Northland,2518,NA,994,3301.88446276,0.3506944444444444,No
106300,Northland,1976,NA,916,2973.39001687,0.32599118942731276,No
105800,Northland,2414,NA,1073,1070.46442036,0.4766355140186916,No
105900,Northland,2810,NA,978,1418.45464985,0.32051282051282054,No
106200,Northland,2765,NA,1108,236.102077378,0.42939481268011526,No
121500,Waitemata,2531,NA,971,1460.69900126,0.4114285714285714,No
141500,Auckland,2411,NA,947,657.976425563,0.37916666666666665,No
106400,Northland,1692,NA,1385,399.204027174,0.5109170305676856,No
134000,Waitemata,1859,NA,897,1515.8434623,0.33,No
106500,Northland,3197,NA,1075,1763.71878525,0.4178743961352657,No
106600,Northland,2896,NA,1048,1778.91389129,0.31750741839762614,No
144500,Auckland,2309,NA,990.5,1108.41082568,0.36908517350157727,No
106900,Northland,2996,NA,984.5,1106.05362488,0.37464788732394366,No
324100,Canterbury,728,NA,915,494.75796502,0.4088397790055249,No
107100,Northland,965,NA,1117,411.697850132,0.3073170731707317,No
117900,Waitemata,3280,NA,918,1517.66307344,0.3799019607843137,No
107200,Northland,1862,0.7142857142857143,999,2671.51623346,0.3511111111111111,No
107300,Northland,2651,0.5477178423236515,1153,907.95892564,0.4986149584487535,No
145600,Auckland,2697,0.8594734890619207,986,1272.60618283,0.40294117647058825,No
107900,Northland,185,0.7135135135135136,993,1614.57912892,0.1956521739130435,No
108200,Northland,2018,0.6962338949454906,1082,1094.03582651,0.403921568627451,No
141600,Auckland,2689,0.9248791372257344,893.5,1157.05473563,0.3645833333333333,No
108300,Northland,2070,0.6541062801932367,1043,1832.21351318,0.38461538461538464,No
112200,Waitemata,877,0.7537058152793614,1069,4021.78883537,0.3930131004366812,No
112300,Waitemata,1341,0.7926920208799404,939,11064.0602923,0.35542168674698793,No
112400,Waitemata,2332,0.7585763293310464,990.5,537.697511922,0.4045307443365696,No
141700,Auckland,2100,0.9128571428571428,929,1006.880473414,0.37606837606837606,No
108800,Northland,2302,0.7471763683753258,1063,996.02211049,0.34519572953736655,No
115700,Waitemata,2500,0.8596,917,6837.51767909,0.3769968051118211,No
148600,Counties Manukau,2787,0.7158234660925726,1185,2540.04399195,0.5380281690140845,No
109300,Northland,4239,0.618070299598962,1094,617.874508359,0.3671399594320487,No
109600,Northland,1040,0.6759615384615385,995,31268.152951,0.41155234657039713,No
109700,Northland,1959,0.59315977539561,1019,23888.1441258,0.3588709677419355,No
109800,Northland,2167,0.6654360867558837,969,7471.74617172,0.2786259541984733,No
109900,Northland,2094,0.7626552053486151,978.5,495.573541699,0.2540983606557377,No
110100,Northland,937,0.767342582710779,1005,4191.19002608,0.2727272727272727,No
110200,Waitemata,1280,0.69140625,1001,7778.85696335,0.3722397476340694,No
110400,Waitemata,3077,0.7279818004549886,967,14462.4104772,0.330749354005168,No
110500,Waitemata,1617,0.6907854050711194,1046,2565.7427393,0.4186046511627907,No
110700,Waitemata,2188,0.7399451553930531,982,20223.4576572,0.34767025089605735,No
110800,Waitemata,1677,0.6839594514013119,964,24245.142774,0.37089201877934275,No
110900,Waitemata,1386,0.7914862914862915,942.5,12689.3448033,0.3323353293413174,No
111100,Waitemata,2187,0.8308184727937814,970.5,1537.29715883,0.31203007518796994,No
111700,Waitemata,3083,0.7911125527084009,977,735.033420886,0.3109919571045576,No
112500,Waitemata,1405,0.8092526690391459,916,8802.80257404,0.4024024024024024,No
112600,Waitemata,1426,0.800140252454418,901,8388.83009859,0.37158469945355194,No
112800,Waitemata,1331,0.8422238918106687,947,2826.51966116,0.37538461538461537,No
319800,Canterbury,1253,0.8531524341580208,977,3418.07119357,0.35294117647058826,No
112900,Waitemata,3338,0.8843618933493109,963.5,1146.72193137,0.23796033994334279,No
113100,Waitemata,3068,0.8689700130378096,884.5,2548.26197779,0.38848920863309355,No
123100,Waitemata,2571,0.9128743679502139,990,884.121271634,0.38972809667673713,No
113300,Waitemata,2987,0.8858386340810177,905.5,2426.2464907,0.3963254593175853,No
113400,Waitemata,1977,0.7870510875063227,985,4173.64003372,0.3836317135549872,No
148800,Counties Manukau,1862,0.8952738990332976,958.5,1004.156598915,0.4017467248908297,No
113500,Waitemata,1265,0.8150197628458498,909,9035.1222104,0.36245954692556637,No
113600,Waitemata,2005,0.8369077306733167,913.5,1099.01959045,0.41201716738197425,No
113700,Auckland,1979,1,1068.5,579.289873511,0.6480938416422287,Yes
113800,Waitemata,392,0.8341836734693877,1033,694.077040115,0.30434782608695654,No
123400,Waitemata,3498,0.9045168667810177,954,1376.97600806,0.40093240093240096,No
113900,Waitemata,2354,0.8377230246389125,974,1257.65971335,0.3125,No
123500,Waitemata,230,0.782608695652174,986,1583.28269926,0.3191489361702128,No
114000,Waitemata,3417,0.8595258999122037,930,2763.15101113,0.342042755344418,No
114200,Waitemata,1122,0.8529411764705882,888.5,3463.20120839,0.37857142857142856,No
114500,Waitemata,948,0.820675105485232,908,10134.7597935,0.34701492537313433,No
114600,Waitemata,2199,0.8017280582082765,957,3032.26449715,0.4160839160839161,No
123600,Waitemata,2900,0.9303448275862068,956.5,1750.09453791,0.40482573726541554,No
114900,Waitemata,3674,0.8309744148067502,934.5,1745.25160495,0.3732394366197183,No
116500,Waitemata,1948,0.9019507186858317,908,683.069967148,0.3938053097345133,No
115000,Waitemata,3878,0.8669417225373904,906,555.2735842,0.3885350318471338,No
124200,Waitemata,2234,0.7891674127126231,1040,2269.13335387,0.4831081081081081,No
115200,Waitemata,2076,0.8135838150289018,944,1099.14114039,0.34274193548387094,No
116700,Waitemata,3010,0.8933554817275747,931,2993.88837348,0.42744063324538256,No
142200,Auckland,3876,0.9269865841073271,951,214.751382586,0.4260869565217391,No
115400,Waitemata,1793,0.8343558282208589,916,2293.43504162,0.3194444444444444,No
116800,Waitemata,3741,0.8703555199144614,922,1860.93013674,0.39574468085106385,No
115800,Waitemata,3139,0.8145906339598599,954.5,317.493498388,0.3485254691689008,No
117500,Waitemata,2664,0.8956456456456456,940,1553.04837896,0.4017094017094017,No
148900,Counties Manukau,3542,0.6643139469226426,1235,1081.46886831,0.561965811965812,No
149000,Counties Manukau,3617,0.8565109206524745,1012,763.043351513,0.38445378151260506,No
115900,Waitemata,2449,0.8632094732543896,930.5,4191.84403109,0.39090909090909093,No
117600,Waitemata,2594,NA,961,1271.40511585,0.3919308357348703,No
116200,Waitemata,2545,NA,918.5,5524.98806477,0.31864406779661014,No
142300,Auckland,2959,NA,1104,874.569221889,0.4837837837837838,No
117200,Waitemata,3781,NA,933,69.79674708350001,0.36225596529284165,No
117700,Waitemata,2797,NA,937,542.80733199,0.37752161383285304,No
149700,Counties Manukau,3727,NA,977,1653.70543708,0.4057649667405765,No
117400,Waitemata,2460,NA,941.5,931.169965707,0.3741496598639456,No
118000,Waitemata,1686,NA,941,7179.8691139,0.3872549019607843,No
199000,Lakes,1884,NA,1229.5,1072.14942193,0.5254901960784314,No
118100,Waitemata,3036,NA,936.5,1530.69022873,0.3888888888888889,No
118300,Waitemata,2677,NA,948.5,280.639283358,0.31493506493506496,No
152000,Counties Manukau,3040,NA,954,515.6141323960001,0.3729281767955801,No
118600,Waitemata,835,NA,990.5,2258.83750753,0.30120481927710846,No
119700,Waitemata,1505,NA,987,1695.41608838,0.33994334277620397,No
118400,Waitemata,3286,NA,925,2507.77341022,0.4211764705882353,No
118500,Waitemata,3950,NA,954,676.630610027,0.4100418410041841,No
118800,Waitemata,28,0.8214285714285714,1090,921.044928636,0.5,No
119000,Waitemata,2588,0.8867851622874807,910,1599.87777907,0.38311688311688313,No
119100,Waitemata,2580,0.9015503875968992,911,3260.07855854,0.42727272727272725,No
124400,Waitemata,3760,0.8800531914893617,949,3341.69306266,0.4163346613545817,No
119400,Waitemata,1813,0.885273028130171,922,2615.52161201,0.38967136150234744,No
119500,Waitemata,2250,0.9013333333333333,923,1687.64770897,0.38267148014440433,No
152100,Counties Manukau,2813,0.7795947387131177,1093,862.177091774,0.4859550561797753,No
119800,Waitemata,3296,0.8000606796116505,1049,1221.81480623,0.4583333333333333,No
119900,Waitemata,2070,0.8971014492753623,924,2345.27250575,0.3442622950819672,No
120000,Waitemata,1968,0.8816056910569106,895.5,1278.3405416,0.3584070796460177,No
213900,Hawke's Bay,1496,0.7941176470588235,997,1762.90640902,0.34972677595628415,No
